Judul,Berita,Topik
KPU Klaim Debat Besok Lebih Banyak Interaksi Antar Capres,"Ketua KPU RI, Hasyim Asy'ari mengatakan, empat dari enam segmen yang ada nantinya dikhususkan untuk sesi saling menanggapi antar calon.
""Supaya debatnya tidak terkesan monoton, tidak seperti cerdas cermat, ada interaksi atau tidak, kami pastikan di dalam rundown itu justru kesempatan antar calon untuk berinteraksi itu untuk debat Pemilu 2024 ini lebih banyak,"" kata Hasyim Asy'ari di kantor KPU RI, Jakarta, Senin (11/12/2023).
""Yang kita utamakan itu interaksi yang paling banyak antar calon. Enam segmen itu, empat segmen sendiri yang kemudian interaksi langsung antar calon,"" ujarnya lagi.
Nantinya, segmen pertama akan diisi oleh penyampaian tata tertib dan visi-misi/program masing-masing capres.
Sementara itu, sesi interaksi antar calon ini digelar pada segmen, kedua, ketiga, keempat, dan kelima.
Menurut Hasyim, salah satu capres, sebut saja capres A, diberi kesempatan mengambil undian pertanyaan debat yang sebelumnya sudah disusun oleh 11 pakar/panelis yang disepakati.
Ia kemudian diberi waktu dua menit untuk menjawab pertanyaan dari pakar/panelis itu.
Selanjutnya, capres B dan C diberi kesempatan masing-masing satu menit untuk menanggapi jawaban tersebut.
Terakhir, capres A diberikan lagi kesempatan selama satu menit untuk menjawab rangkuman pertanyaan yang dilontarkan capres B dan C.
Kemudian, sesi keenam menjadi sesi terakhir untuk pernyataan penutup masing-masing capres.
Hasyim mengatakan, moderator hanya akan memandu jalannya acara debat dan menyampaikan pertanyaan yang telah disusun oleh para panelis.
""Semuanya kan dari moderator. Apa-apa yang gagasan (merupakan hasil pekerjaan) panelis, kalau pertanyaan nanti yang sampaikan moderator,"" ujar Hasyim.
Sebagai informasi, debat perdana pemilihan presiden (Pilpres) 2024 akan digelar di kantor KPU RI, Selasa (12/12/2023) besok.
Tiga capres-cawapres akan datang berbarengan ke arena debat. Capres akan duduk melingkar di tengah arena debat dan diberi kesempatan sepenuhnya untuk berbicara.
Tema debat besok meliputi pemerintahan, hukum, hak asasi manusia (HAM), pemberantasan korupsi, penguatan demokrasi, peningkatan layanan publik, dan kerukunan warga.
Jumlah tamu undangan dibatasi KPU maksimum 75 orang per masing-masing tim pasangan calon, di luar undangan untuk ketua umum dan sekretaris jenderal partai politik.
Debat akan diselenggarakan mulai pukul 19.00 WIB dan disiarkan secara langsung.














",NEWS
"Bluebird Pakai Toyota Transmover Baru, Diklaim Lebih Nyaman","JAKARTA, KOMPAS.com - PT Blue Bird Tbk yang bergerak sebagai penyedia layanan mobilitas terus berkomitmen memberikan standar layanan terbaik buat pelanggan. Pada Senin (11/12/2023), Blue Bird resmi menggunakan Toyota Transmover terbaru sebagai taksi reguler.
Transmover baru ini mengikuti Toyota Avanza generasi terakhir, artinya sudah pakai penggerak roda depan. Bedanya, unit taksi ini sudah dicat biru khas Bluebird dengan ornamen taksi seperti lampu dan kode mobil.
Sesuai filosofi layanan Bluebird, yaitu ANDAL (Aman, Nyaman, Mudah, Personalised), kehadiran unit baru ini dapat menjadi pilihan solusi mobilitas bagi masyarakat.
Taksi baru Bluebird ini juga bagian dari kampanye SNI (Standar Nyaman Indonesia) dengan tiga pilar utama, yaitu armada yang terstandardisasi, pengemudi yang profesional, dan kemudahan layanan melalui sistem yang terintegrasi.
KOMPAS.com/FATHAN Peluncuran taksi baru Bluebird, pakai Toyota Transmover baru
Adrianto Djokosoetono, Direktur Utama PT Blue Bird Tbk mengatakan, penggunaan unit baru Bluebird adalah wujud komitmen perusahaan dalam meningkatkan kualitas layanan kepada pelanggan. 
“Hari ini dengan bangga kami meluncurkan taksi terbaru Bluebird. Hal ini merupakan bagian dari komitmen perusahaan dengan melakukan peremajaan unit setiap lima tahun sekali. Penggunaan unit baru ini juga adalah bagian dari strategi kami dalam mengembangkan dan meningkatkan kinerja perusahaan,” kata Andre, sapaan akrab Adrianto di Jakarta, Senin (11/12/2023).
Andre mengatakan, taksi baru Bluebird berbasis Transmover ini memiliki Internet of Things (IoT) yang terbaru. Jadi memudahkan baik pengemudi, penumpang, bahkan perusahaan, lebih tepat, cepat, dan aman.
""Kami yakin kendaraan baru ini animonya positif. Mudah-mudahan ini menjadikan Bluebird senantiasa di depan karena mendengar konsumennya,"" kata Andre.
Jap Ernando Demily, Chief Executive Officer Auto2000 memberikan apresiasi kepada Bluebird atas kerja samanya selama ini.
""Sebagai mitra Bluebird dalam pembelian armada taksi, kami selalu siap mendukung Bluebird dalam memberikan layanan yang andal kepada pelanggan. Melalui armada baru ini kami yakin Bluebird akan semakin menjadi perusahaan terdepan dalam bidang transportasi,” ungkap Jap.

Transmover terbaru punya beberapa keunggulan, seperti desain baru yang lebih modern, kabin lebih lega, sehingga akomodasi lebih baik dan nyaman. 
Tahun ini sudah ada pengadaan Transmover sebanyak 2.500 unit, 750 unit sudah siap beroperasi. Operasional taksi baru Bluebird akan diawali di kota Cilegon, Banten disusul dengan kota Bandung, Jabodetabek, dan kota-kota lainnya di Indonesia. 














",OTOMOTIF
"Eks PPK Balai Teknik Perkeretaapian Bandung Divonis 4,5 Tahun Penjara","JAKARTA, KOMPAS.com - Mantan Pejabat Pembuat Komitmen (PPK) pada Balai Teknik Perkeretaapian (BTP) Kelas I Bandung Syntho Pirjani Hutabarat divonis 4,5 tahun penjara dalam perkara dugaan suap proyek jelur kereta api.
Perkara Syntho merupakan bagian dari rangkaian kasus dugaan suap di lingkungan Direktorat Jenderal Perkeretaapian (DJKA), Kementerian Perhubungan (Kemenhub).
Juru Bicara Penindakan dan Kelembagaan KPK Ali Fikri mengatakan, perkara Syntho diadili oleh Majelis Hakim Pengadilan Tindak Pidana Korupsi pada Pengadilan Negeri Bandung.
“Menjatuhkan pidana kepada terdakwa oleh karena itu dengan pidana penjara selama 4 tahun dan 6 bulan,” kata Ali dalam keterangannya kepada wartawan, Senin (11/12/2023).
Syntho juga dihukum membayar denda Rp 300 juta subsider 6 bulan kurungan.
Selain itu, majelis hakim juga menjatuhkan pidana tambahan berupa uang pengganti sebesar Rp 2.105.700.000.
Namun, jumlah itu dikurangi uang yang telah ditetapkan sebagai barang bukti dan dirampas untuk negara oleh KPK.
Sejumlah uang yang telah dirampas antara lain adalah barang bukti nomor 915 senilai Rp 307 juta, barang bukti nomor 916 berupa uang senilai Rp 388,3 juta, dan barang bukti nomor 925 berupa uang senilai Rp 600 juta.
Kemudian, barang bukti nomor 950 berupa uang senilai Rp 400 juta dan barang bukti nomor 973 berupa uang senilai Rp 100 juta.
“Total sebesar Rp 1.795.300.000 sehingga sisa uang pengganti yang harus dibayarkan terdakwa sebesar Rp 310.400.000,” ujar Ali.
Jika dalam waktu satu bulan setelah putusan pengadilan berkekuatan hukum tetap, maka harta benda Sintho bisa disita oleh jaksa dan dilelang untuk menutupi kekurangan uang pengganti.
Namun, jika harta benda Syntho tidak mencukupi kekurangan biaya uang pengganti itu, maka hukumannya akan ditambah.
“Dipidana dengan pidana penjara selama 1 tahun,” tutur Ali.
Dalam perkara ini, Syntho dinilai terbukti secara sah dan meyakinkan bersalah melakukan tindak pidana korupsi secara bersama-sama dan berlanjut.
Adapun Syntho diduga menerima suap Rp 2,2 miliar dari pengusaha Direktur PT Istana Putra Agung (IPA) Dion Renato Sugiarto.
Suap diberikan agar perusahaan Dion mendapatkan proyek jalur kereta api Lampegan, Jawa Barat.














",NEWS
"Yakin Ganjar-Mahfud Tampil Maksimal saat Debat, TPN: Kami Sudah Siapkan Narasi Utama","Debat capres akan diselenggarakan di gedung Komisi Pemilihan Umum (KPU) RI pada Selasa (12/12/2023) besok.
TPN Ganjar-Mahfud mengatakan, pasangan calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 3, Ganjar-Mahfud sudah saling mengisi tentang isu yang akan menjadi tema debat perdana di KPU.
Tema debat perdana di KPU, yakni hukum, Hak Asasi Manusia (HAM), pemerintahan, pemberantasan Korupsi, dan penguatan demokrasi.
""Kedua kandidat kami sudah saling mengisi tentang isu-isu debat satu,"" kata Deputi Politik TPN Ganjar-Mahfud Andi Widjajanto, Jakarta Pusat, Senin (11/12/2023).
Andi mengatakan, TPN sudah menyiapkan narasi utama tentang tema debat perdana yang akan dilaksanakan besok.
""Kami sudah menyiapkan narasi utama tentang debat satu disesuaikan dengan visi-misi,"" ujar Andi
""Terutama temuan-temuan lapangan yang langsung didapatkan Mas Ganjar selama menjalankan kampanye,"" katanya lagi.
Selain itu, Andi mengatakan, dirinya sudah berdiskusi dengan Ganjar jelang debat perdana.
""Sudah ada pertemuan antara Mas Ganjar dengan Pak Mahfud,"" ujar Andi.
Menurut Andi, isi dari diskusi tersebut membahas seputar pemberantasan korupsi hingga terobosan demokrasi yang ada di era digital.
Lebih lanjut, Andi menjelaskan bahwa persiapan untuk menghadapi debat perdana akan dilakukan satu kali lagi yakni Senin malam ini. Tetapi, tergantung kebutuhan dari Ganjar Pranowo.
""Dengan persiapan-persiapan yang ada yang akan dilakukan satu kali lagi, malam ini, kemudian dua kali tergantung kebutuhan Mas Ganjar,"" kata Andi.














",NEWS
Kata Hodak soal Anggapan Persib Kalah karena Tekanan Suporter ,"BANDUNG, KOMPAS.com - Persib Bandung memang bermain buruk ketika dikandaskan Persik Kediri 0-2 dalam laga pekan ke-22 Liga 1 2023-2024 di Stadion Gelora Bandung Lautan Api (GBLA), Minggu (10/12/2023). 
Kekalahan ini menjadi peringatan atau wake up call agar Persib tidak menurunkan level permainannya dalam perburuan posisi empat besar. 
Sebelumnya, Persib sudah diperingatkan lewat hasil kurang memuaskan di dua laga kandang, saat ditahan imbang Arema FC (2-2) dan PSM Makassar (0-0).  
Kekalahan dari Persik akhirnya mematahkan rekor tak terkalahkan Persib dalam 14 laga terakhirnya. 
Pelatih Persib, Bojan Hodak, secara gentle mengakui timnya bermain buruk.
Namun, penampilan under perform pemainnya bukan sebab tekanan dari banyaknya suporter di stadion. 
""Sangat senang ketika stadion itu penuh. Tentu saja, ini menjadi dukungan bagus bagi kami meski di tiga laga terakhir di kandang kami gagal menang,” kata Hodak.
Pelatih asal Kroasia itu ingin Bobotoh tetap merapatkan barisan untuk menatap sisa laga kandang di putaran kedua. Kekalahan Persib atas Persik jangan sampai melupakan kemenangan lainnya. 
Sebab, Maung Bandung pernah mempersembahkan kemenangan besar ketika menaklukkan Persita Tangerang (5-0) dan PSS Sleman (4-1). 
""Namun, jangan lupakan juga kemenangan kami melawan Persita dan PSS, saat kami menang (telak). Jadi, kondisi stadion yang penuh itu bagus bagi pemain lantaran memberi mereka motivasi ekstra, bukan tekanan,"" kata Hodak. 
Persib harus fokus menuntaskan laga penutup tahun 2023 ini menghadapi Bali United, Senin (18/12/2023), di Stadion Kapten I Wayan Dipta, Gianyar Bali.
Hodak mengatakan, pemainnya harus segera melupakan kekalahan kemarin karena kompetisi masih panjang.
Peluang melaju ke Championship Series atau empat besar masih terbuka lebar. 
""Jadi, mereka harus kerja lebih banyak di sesi latihan. Seperti yang saya sudah katakan, kami akhirnya kalah setelah dalam 14 pertandingan tidak kalah,"" katanya. 
""Kami harus melupakan ini, fokus untuk yang berikutnya. Kami hanya melihat liga masih panjang dan kami masih berada di empat besar,"" ujarnya.
""Target kami adalah untuk tetap bisa mendapat hasil positif dan tetap berada di empat besar,” ucapnya. 














",SPORT
"Stasiun Pompa Ancol-Sentiong Diresmikan, Disebut Bisa Kurangi Banjir di 7 Kecamatan","JAKARTA, KOMPAS.com - Presiden RI Joko Widodo bersama Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono meresmikan Stasiun Pompa Ancol-Sentiong, Jakarta Utara, Senin (11/12/2023).
Fasilitas tersebut dibangun oleh Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR), untuk menanggulangi banjir di tujuh kecamatan wilayah Jakarta Utara, Jakarta Pusat dan Jakarta Timur.
“Stasiun Pompa Ancol-Sentiong menjadi salah satu infrastruktur pengendali banjir yang dapat mengurangi risiko serta mereduksi banjir seluas 879 hektare pada tujuh kecamatan,” ujar Heru Budi dalam keterangan resmi Pemerintah Provinsi DKI Jakarta, Senin.
Sebanyak tujuh kecamatan tersebut ialah Pademangan, Tanjung Priok, Kemayoran, Cempaka Putih, Johar Baru, Matraman dan Kecamatan Senen.
“Pemprov DKI Jakarta berkomitmen untuk terus berkontribusi dan bekerja sama dengan Kementerian PUPR,” kata Heru Budi.
Sementara itu, Jokowi mengeklaim fasilitas ini merupakan stasiun pompa terbesar di Indonesia dengan biaya pembangunan mencapai Rp 481 miliar.
“Kami harapkan dengan selesainya infrastruktur pengendali banjir di hulu, di tengah, di hilir, dan di Sentiong ini, banjir di Jakarta bisa berkurang hingga 62 persen,” kata Jokowi.














",NEWS
"Kunjungi Tembagapura, Puan Maharani dan Arifin Tasrif Apresiasi Kinerja Freeport","KOMPAS.com - Ketua (DPR) Republik Indonesia (RI) Puan Maharani dan Menteri Energi, Sumber Daya Mineral (ESDM) Arifin Tasrif mengunjungi area operasi PT Freeport Indonesia (PTFI) di Tembagapura, Kabupaten Mimika, Provinsi Papua Tengah, Minggu (10/12/2023).
Dalam wawancara dengan media di lokasi tambang bawah tanah Grasberg, Puan mengapresiasi kinerja dan upaya PTFI untuk meningkatkan kesejahteraan masyarakat Papua dan Indonesia.
""(Langkah-langkah) yang sudah dilaksanakan tentunya sudah berdampak cukup positif untuk Papua dan Indonesia secara umumnya. Kami berharap, sumber daya mineral yang besar tentu harus bermanfaat untuk Indonesia,"" katanya dalam siaran pers yang diterima Kompas.com, Senin (11/12/2023).
Dalam kunjungan kerja (kunker) tersebut, rombongan Ketua DPR Puan Maharani dan Menteri ESDM Arifin Tasrif melihat secara langsung area tambang terbuka Grasberg, Kantor Pusat Operasi Tambang Bawah Tanah, hingga meninjau operasi tambang bawah tanah terbesar di dunia Grasberg Block Cave yang dioperasikan sepenuhnya oleh anak bangsa.
Puan menilai bahwa keterlibatan tenaga kerja asal Papua telah meningkat dan teknologi pertambangan yang digunakan sangat modern.
""Sudah sangat modern, menggunakan teknologi yang luar biasa dan tenaga lokal sudah cukup banyak diberdayakan di sini. Saya berharap (jumlah) tenaga lokal yang bekerja di sini akan bertambah, sehingga ke depannya transfer teknologi yang ada (dapat) memberikan kontribusi sebesar-besarnya untuk Indonesia,"" kata Puan.
DOK. Freeport Indonesia Ketua DPR RI Puan Maharani saat mengunjungi pusat operasi tambang bawah tanah PTFI, Minggu (10/12/2023). PTFI mengaplikasikan teknologi operasi alat berat dari jarak jauh dalam menambang di bawah tanah. Keselamatan pekerja tambang dari berbagai ancaman menjadi pertimbangan utama penggunaan teknologi sekaligus untuk tetap menjaga produktivitas.

Senada dengan Puan, Menteri ESDM Arifin Tasrif mengapresiasi operasional PTFI yang telah memasuki era pertambangan bawah tanah.
""Sekarang masuk ke tambang bawah tanah, masuk lagi ke deep mill level zone (DMLZ), dan seluruhnya beroperasi di bawah tanah. Dengan kapasitas produksi maksimum dari semua tambang bawah tanah mencapai 240.000 ton bijih per hari, PTFI saat ini sudah mencapai sekitar 213.000 ton per hari. Kecepatan Freeport dalam menjalankan proyek ini patut kita acungkan jempol,"" ujarnya.
Arifin berharap dengan perkembangan yang sangat baik tersebut, PTFI tetap berkomitmen untuk menjalankan kewajibannya.
Salah satunya adalah menyelesaikan pembangunan smelter di Gresik dan penambahan kapasitas di PT Smelting. Kedua langkah ini dianggap sangat penting dalam mendukung hilirisasi sektor pertambangan.
""Ada dua pekerjaan, yang pertama adalah menyelesaikan penambahan 30 persen kapasitas smelter pertama (PT Smelting) pada bulan (Desember) ini. Dan yang kedua, smelter kedua PTFI harus selesai pada Mei 2024, sehingga semua konsentrat tembaga PTFI dapat diserap di dalam negeri,"" kata Arifin.
DOK. Freeport Indonesia Ketua DPR RI Puan Maharani (kedua kanan), Menteri ESDM Arifin Tasrif (belakang) didampingi oleh Presiden Direktur PTFI Tony Wenas (kiri) bersama Senior Manager Grasberg Earthworks, I Nengah Giri (Kanan) berbincang saat mengunjungi area tambang terbuka Grasberg di Tembagapura, Kabupaten Mimika, Provinsi Papua Tengah, Minggu (10/12/2023).

Sementara itu, Presiden Direktur (Presdir) PTFI Tony Wenas menegaskan bahwa komitmen pihaknya untuk masyarakat sangat besar.
""Kami adalah bagian dari Papua. Freeport telah berada selama 57 tahun di Papua, dan kami terus bertumbuh dan berkembang bersama masyarakat Papua,"" jelas Tony.
Ia mengatakan bahwa komitmen untuk mendorong kesejahteraan masyarakat Papua tercermin dalam komposisi tenaga kerja PTFI, di mana 40 persennya adalah karyawan asli Papua.














",NEWS
Anies Sebut Kemungkinan Indonesia Bernasib seperti Yugoslavia jika Ketimpangan Ekonomi Tak Diperhatikan Pemerintah,"JAKARTA, KOMPAS.com - Calon presiden nomor urut 1, Anies Baswedan, menyebutkan, kemungkinan Indonesia bernasib sama seperti Yugoslavia jika ketimpangan ekonomi tak jadi perhatian khusus pemerintah.
 Hal itu disampaikan Anies dalam acara Dialog Capres Bersama Asosiasi Pengusaha Indonesia (APINDO) di Gedung Bank Mega, Tendean, Jakarta Selatan, Senin (11/12/2023).
 Anies mengatakan, perekonomian Indonesia saat ini timpang terlihat dari Produk Domestik Regional Bruto (PDRB) Kabupaten/Kota dari Badan Pusat Statistik (BPS) tahun 2022.
 Dalam data yang dipaparkan Anies, Jakarta memiliki PDRB sebesar Rp 1.953 triliun, kemudian Bandung Rp 211 triliun dan Semarang Rp 152 triliun.
Kota besar lainnya seperti medan Rp 165 triliun, Batam Rp 118 triliun, dan Makassar Rp 133 triliun.
 Sedangkan kota kecil seperti Tarakan Rp 24 triliun, Kupang Rp 17 triliun, dan Ternate Rp 4 triliun.
 ""Perekenomian kita yang timpang, ini kenyataan ini. PDRB kita kalau dilihat timpang. Kalau ini tidak dibereskan, saya mau ceritakan peristiwa Balkan,"" ucap Anies.
 Anies menyebutkan, peristiwa yang menyebabkan negara Yugoslavia terpecah menjadi tujuh negara ini bukan disebabkan masalah etnis.
Menurut Anies, dari banyak studi, perang itu terjadi karena adanya ketimpangan di berbagai wilayah Yugoslavia.
 ""Balkan itu mayoritas itu tahunya soal etnik, oh iya, itu di ujung ada etnic cleansing, sebelumnya coba lihat studi-studinya,"" kata Anies.
 ""Yang terjadi adalah ketimpangan antarwilayah yang luar biasa di Yugoslavia, itu adalah antara Makedonia, Slovakia, Bosnia, Serbia, itu timpang dibiarkan tidak di-address, itu sama seperti apa? Mengeringkan hutan, tunggu ada puntung rokok jatuh terbakar hutannya,"" tutur dia.
Oleh karena itu, Anies menilai harus ada perhatian khusus pemerintah terhadap ketimpangan yang kini terjadi di Indonesia jika ingin negara kesatuan ini tetap utuh.
 ""Kita Indonesia harus address ini kalau mau tetap satu, utuh kesatuan, ketimpangan ini harus dihentikan,"" ucapnya.














",NEWS
"Peringatan Hakordia, KPK Lelang Album Blackpink, BTS hingga PS 5","JAKARTA, KOMPAS.com - Komisi Pemberantasan Korupsi (KPK) melelang satu unit album Born Pink dari band K-Pop Blackpink hasil eks gratifikasi dengan nilai limit senilai Rp 171.000
Album tersebut dilelang dalam rangka memperingati Hari Antikorupsi Sedunia (Hakordia) Tahun 2023.
“Uang jaminan IDR 55.000,” sebagaimana dikutip dari akun resmi KPK @literasigratifikasi di media sosial Instagram, Senin (11/12/2023).
Selain album Blackpink, KPK juga melelang satu unit album Butter dari Band K-Pop BTS dengan nilai limit Rp 191.000 dan uang jaminan Rp 65.000.
Selain dua album grup musik ternama dari Korea Selatan, KPK juga melelang sejumlah barang bekas gratifikasi lainnya.
KPK juga melelang barang elektronik full set Konsol Game Playstation (PS) 5 full dengan nilai limit Rp 4.815.000. Uang jaminan lelang PS 5 ini Rp 1.500.000.
Kaos Persatuan Sepakbola Seluruh Indonesia (PSSI) misalnya, dilelang dengan harga Rp 301.000 dan uang jaminan Rp 100.000.
Kemudian, cincin bermata batu bacan dengan nilai limit Rp 529.000 dan uang jaminan Rp 165.000.
Lalu, satu set tablet Huawei yang terdiri dari Huawei M-Pencil, Smart Magnetic Keyboard, dan Huawei Mate Pad Pro dengan nilai limit Rp 7.070.000 dan uang jaminan Rp 2.200.000.
Lalu, helm JPX MX726 R dengan nilai limit 266.000 dan uang jaminan Rp 85.000.
KPK juga melelang tas mewah eks gratifikasi merk Burberry dengan nilai limit Rp 13.965.000. Uang jaminan yang dibayarkan senilai Rp 4.500.0000.
Adapun lelang digelar KPK bersama Kantor Pelayanan Kekayaan Negara dan Lelang (KPKNL) Jakarta III.
Uang jaminan diterima paling lambat 12 Desember.
Sebagai informasi, peringatan Hakordia sebenarnya jatuh pada 9 Desember. Namun, karena bertepatan dengan hari libur atau akhir pekan KPK menggeser peringatan tersebut menjadi 12-13 Desember.
Acara akan digelar di Istora, Senayan, Jakarta Pusat. Presiden Joko Widodo juga sempat dikabarkan akan menghadiri agenda tahunan tersebut.














",NEWS
"Gibran: Yang Belum Tentukan Pilihan Capres Banyak, Mungkin Nunggu Debat","Gibran menduga masyarakat masih menunggu debat resmi capres-cawapres di KPU yang akan digelar pada Selasa (12/12/2023) besok.
Adapun berdasarkan temuan Litbang Kompas terbaru, undecided voters atau pemilih yang belum menentukan pilihan masih tinggi, yakni 28,7 persen.
""Yang belum menentukan pilihan memang banyak. Mungkin sebagian besar masih nunggu debat ya,"" ujar Gibran saat ditemui di Pasar Rumput, Jakarta, Senin (11/12/2023).
Gibran meminta agar menunggu progres dalam satu sampai dua bulan ke depan untuk melihat penurunan jumlah undecided voters.
Yang pasti, kata dia, mereka tetap harus bekerja keras terlepas dari tinggi atau rendahnya survei.
Ia juga tak masalah jika Pemilu Presiden tak berlangsung satu putaran. 
""Enggak apa-apa (kalau tidak satu putaran),"" ucapnya.
Lalu, terkait apakah strategi kampanye Prabowo-Gibran sukses atau tidak, Gibran merasa warga lah yang menentukan.
Gibran mengatakan, yang penting, jika pergi ke pasar-pasar, ia harus berinteraksi dan memborong dagangannya.
""Berhasil atau tidak itu yang menentukan warga, yang penting kita kalau ke pasar interaksi dengan pedagang, borong-borong UMKM gitu-gitu doang,"" kata Gibran.
Hasil jajak pendapat Litbang Kompas pada 29 November-4 Desember 2023 menunjukkan bahwa ada 28,7 persen responden yang belum menentukan pilihan atau undecided voters pada Pemilu Presiden 2024.
""Jumlah pemilih yang masih ragu-ragu menetapkan pilihannya kepada pasangan capres-cawapres, yang mencapai angka 28,7 persen, terbilang besar mengingat pemilu tinggal dua bulan lagi,"" tulis peneliti Litbang Kompas Bambang Setiawan, dikutip dari harian Kompas, Senin (11/12/2023).
Persentase ini tak berbeda jauh dari angka massa mengambang pada pilihan terhadap capres (tanpa pasangan) yang mencapai 24,9 persen.
Angka massa mengambang pada pilihan capres itu pun melonjak signifikan dari 15,4 persen pada Agustus 2023.














",NEWS
